date,location,secchi
8/3/20,P,2.75
8/3/20,R,2.75
8/19/20,B,2.5
8/19/20,E,3.5
8/19/20,F,3
8/19/20,P,3
8/19/20,R,3
9/4/20,B,2.75
9/4/20,E,3
9/4/20,F,2.75
9/4/20,P,2.75
9/4/20,R,2.5
9/21/20,B,2.75
9/21/20,E,3
9/21/20,F,3
9/21/20,P,3
9/21/20,R,3
10/6/20,B,3.5
10/6/20,E,2.9
10/6/20,F,3.4
10/6/20,P,2.75
10/6/20,R,2.25
10/22/20,B,3.75
10/22/20,E,4.25
10/22/20,F,4.5
10/22/20,P,4.25
10/22/20,R,6
11/7/20,B,3.5
11/7/20,E,3
11/7/20,F,3.25
11/7/20,P,3
11/7/20,R,2.5
11/27/20,B,2
11/27/20,E,2.5
11/27/20,F,2.25
11/27/20,P,2.5
11/27/20,R,2.5
12/9/20,B,1.5
12/9/20,E,2.75
12/9/20,F,2
12/9/20,P,2.5
12/9/20,R,2.75
12/27/20,B,7
12/27/20,E,5
12/27/20,F,6
12/27/20,P,5
12/27/20,R,5.25
1/11/21,B,4.75
1/11/21,E,5.75
1/11/21,F,4.5
1/11/21,P,4.75
1/11/21,R,4.5
1/26/21,B,6
1/26/21,E,5.5
1/26/21,F,5.5
1/26/21,P,6
1/26/21,R,2.5
2/11/21,B,4.5
2/11/21,E,5
2/11/21,F,5.5
2/11/21,P,5.5
2/11/21,R,6
2/27/21,B,3.75
2/27/21,E,3.75
2/27/21,F,4
2/27/21,P,4
2/27/21,R,3.5
3/15/21,B,4
3/15/21,E,4.5
3/15/21,F,4.3
3/15/21,P,3.5
3/15/21,R,4.5
3/31/21,B,2.5
3/31/21,E,2.5
3/31/21,F,2
3/31/21,P,3
3/31/21,R,2.75
4/16/21,B,1.4
4/16/21,E,1.25
4/16/21,F,1.5
4/16/21,P,1.15
4/16/21,R,1.25
5/2/21,B,1.65
5/2/21,E,1.75
5/2/21,F,1.75
5/2/21,P,1.75
5/2/21,R,1.75
5/18/21,B,1.8
5/18/21,E,1.8
5/18/21,F,1.7
5/18/21,P,1.75
5/18/21,R,2.25
6/3/21,B,2.25
6/3/21,E,2.4
6/3/21,F,2.15
6/3/21,P,2.45
6/3/21,R,2.7
6/9/21,B,2.25
6/9/21,E,2.6
6/9/21,R,2.5
6/19/21,B,3.3
6/19/21,E,2.5
6/19/21,F,4
6/19/21,P,3.2
6/19/21,R,3.9
7/5/21,B,2.2
7/5/21,E,2.8
7/5/21,F,2.85
7/5/21,P,2.6
7/5/21,R,2.6
7/21/21,B,1.5
7/21/21,E,1.5
7/21/21,F,1.5
7/21/21,P,1.4
7/21/21,R,1.3
8/6/21,B,2.1
8/6/21,E,2.25
8/6/21,F,2
8/6/21,P,2
8/6/21,R,2.75
8/23/21,B,3.25
8/23/21,E,2.75
8/23/21,F,3
8/23/21,P,2.75
8/23/21,R,2.5
9/7/21,B,4.3
9/7/21,E,4.5
9/7/21,F,4.15
9/7/21,P,4.5
9/7/21,R,3.5
9/23/21,B,3.1
9/23/21,E,3.1
9/23/21,F,3
9/23/21,P,3.5
9/23/21,R,2.3
10/9/21,B,3.35
10/9/21,E,4.8
10/9/21,F,4
10/9/21,P,4.5
10/9/21,R,4
10/25/21,B,3.5
10/25/21,E,3.5
10/25/21,F,3.5
10/25/21,P,3.3
10/25/21,R,3.5
11/8/21,Q,3
11/8/21,P,3.5
11/8/21,E,3.25
11/10/21,B,4.1
11/10/21,E,3.5
11/10/21,F,5.1
11/10/21,P,3.68
11/10/21,R,3.55
11/26/21,B,4
11/26/21,E,3.4
11/26/21,F,3.1
11/26/21,P,3
11/26/21,R,4.3
12/12/21,B,2.5
12/12/21,E,2.75
12/12/21,F,3
12/12/21,P,2
12/12/21,R,1.9
12/28/21,B,2.2
12/28/21,E,2.5
12/28/21,F,2.15
12/28/21,P,3
12/28/21,R,2
1/14/22,B,4.5
1/14/22,E,3.5
1/14/22,F,4
1/14/22,P,6
1/14/22,R,3.5
1/29/22,B,3.7
1/29/22,E,4
1/29/22,F,4
1/29/22,P,6
1/29/22,R,4
2/15/22,B,3
2/15/22,E,3
