"band","intercept","B1","B2","SatCorr"
"med_Blue",-0.0026802971988458,1.09112163829887,-1.41690396406044,"LANDSAT_5"
"med_Green",2.55363186772545e-05,0.844008288179783,0.498496970947655,"LANDSAT_5"
"med_Red",0.00116653446818758,0.719732790604464,1.62664124351767,"LANDSAT_5"
"med_Nir",-0.00536872536203424,0.935268946420957,1.12074010985258,"LANDSAT_5"
"med_Swir1",-0.00185761467756813,1.33219182043463,-7.4852822863972,"LANDSAT_5"
"med_Swir2",-0.00131528108259907,1.37730820591731,-10.2964478465848,"LANDSAT_5"
"med_Blue",0.0080322721613518,2.31125187898503,-13.6189068753958,"LANDSAT_8"
"med_Green",0.00173798189383151,1.24342077795292,-0.655286193858519,"LANDSAT_8"
"med_Red",0.00897328085041085,1.39853233636811,-2.56745447922535,"LANDSAT_8"
"med_Nir",0.0130646501498267,1.17822978483997,-3.1022455575435,"LANDSAT_8"
"med_Swir1",0.00213347750089646,0.878129433804477,2.2063566423239,"LANDSAT_8"
"med_Swir2",0.00109156822001643,0.795189792007756,5.88504091278702,"LANDSAT_8"
"med_Blue",0.00902298500349445,1.75667603530771,-2.47538073505685,"LANDSAT_9"
"med_Green",0.00820763433777223,0.659622213309908,4.15147989486454,"LANDSAT_9"
"med_Red",0.00833593868492986,0.844202942604961,3.58773031990751,"LANDSAT_9"
"med_Nir",0.01289885006085,1.53876842230899,-24.1454775047349,"LANDSAT_9"
"med_Swir1",0.00150869452082777,0.930255446135444,5.66940357010568,"LANDSAT_9"
"med_Swir2",0.000426425709355689,0.795121554298047,16.4630595566174,"LANDSAT_9"
