"date","location","mission","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION"
"1985-03-28","E","LANDSAT_5",0.0227339650632865,0.0128538014157523,0.0199854078826055,0.00840169713046167,-0.0298900010686371,-0.0483669924368576,0,1,25,0,113,120.68,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262
"1985-03-28","H","LANDSAT_5",0.0337335729841617,0.0164385929510889,0.0282222978663453,0.012788859644112,-0.0309178292893322,-0.0489326001504676,0,1,24,0,36,42.75,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262
"1985-03-28","K","LANDSAT_5",0.0215646324924874,0.0123458134011611,0.0224818293924156,0.0116877947720916,-0.0284509569321787,-0.0101692075735129,0,1,26,0,110,117.423076923077,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262
"1985-03-28","L","LANDSAT_5",0.0227620962115605,0.0141513159339835,0.0250825200953283,0.0148373944443911,-0.0457129702533052,-0.0463872998190948,0,1,26,0,100,106.961538461538,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262
"1985-03-28","M","LANDSAT_5",0.0220018029915588,0.0116496437884336,0.0216328393221869,0.0110981541926653,-0.0270118140636539,-0.046952936697206,0,1,25,0,85,93.12,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262
"1985-03-28","O","LANDSAT_5",0.0323394333975414,0.0164493971537286,0.0279209968113284,0.0130309382130095,-0.0512584551473133,-0.0497809960970425,0.269230769230769,1,19,0,3,6.78947368421053,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262
"1985-03-28","P","LANDSAT_5",0.0246979699350697,0.0155654951970955,0.0233557254012327,0.012358836767733,-0.0303011384017355,-0.0486497973352518,0,1,25,0,12,19.28,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262
"1985-03-28","R","LANDSAT_5",0.0220440824899421,0.00986881801326588,0.0194013139284911,0.00794953822575625,-0.0284509569321787,-0.047801376390533,0,1,24,0,108,115.125,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262
"1985-04-13","B","LANDSAT_5",0.0281790028597692,0.0153935087404272,0.0261877963314567,0.0135963221697197,-0.042220615065766,-0.0446903391884732,0,1,25,0,189,196.2,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705
"1985-04-13","C","LANDSAT_5",0.0268184283444984,0.0156515474725068,0.0297788836227948,0.0138658153688055,-0.0428369553537803,-0.0452560010647284,0,1,27,0,88,95.5555555555556,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705
"1985-04-13","D","LANDSAT_5",0.0265958051104283,0.0180552009472477,0.026332080417399,0.0175749412012422,-0.0424260638433775,-0.04497317116819,0,1,27,0,77,85.4814814814815,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705
"1985-04-13","E","LANDSAT_5",0.0221708920536845,0.0137461904099917,0.0205341528421416,0.0121976900669723,-0.0389331605921236,-0.0429933035634198,0,1,25,0,22,29.92,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705
"1985-04-13","F","LANDSAT_5",0.0232399978429303,0.0111870191916849,0.0238829424261497,0.0121976900669723,-0.0196089483190099,-0.0429933035634198,0,1,26,0,117,125.538461538462,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705
"1985-04-13","G","LANDSAT_5",0.0283452502147272,0.0150500082037076,0.0260194992037958,0.0132193164710615,-0.0407824172041614,-0.0441246689795034,0,1,25,0,21,28.52,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705
"1985-04-13","I","LANDSAT_5",0.0207311758559512,0.011355108541262,0.020748987703296,0.00850815865599606,-0.0200202871461212,-0.00592266567936925,0,1,25,0,168,174.04,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705
"1985-04-13","J","LANDSAT_5",0.028483730742843,0.0175763925307729,0.0254908058925617,0.021151379692796,-0.0801943446429201,-0.082006149348399,0.217391304347826,1,12,0,3,5.25,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705
"1985-04-13","K","LANDSAT_5",0.0216633934160447,0.0109561534368313,0.020176230456018,0.0119829227259787,-0.0383167054525219,-0.0238964851965023,0,1,26,0,96,103.730769230769,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705
"1985-04-13","L","LANDSAT_5",0.025829491658613,0.0135758769538424,0.0270298361426126,0.0198922171037155,-0.0386249352891303,-0.0427104570014522,0,1,26,0,156,162.769230769231,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705
"1985-04-13","M","LANDSAT_5",0.019910027746294,0.0135333231927538,0.0202478013616627,0.0120634477654557,-0.019403275883044,-0.0427104570014522,0,1,25,0,164,171.92,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705
"1985-04-13","P","LANDSAT_5",0.0246140136759657,0.0115864884977456,0.0209280634065644,0.00869453158777879,-0.020637280274737,-0.0435589904378189,0,1,26,0,113,119.846153846154,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705
"1985-04-13","R","LANDSAT_5",0.0251733577485603,0.0143862682386341,0.0213819116684706,0.0128426430158088,-0.0407824172041614,-0.0438418307502504,0,1,24,0,66,74.25,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705
"1986-03-15","A","LANDSAT_5",0.0172359861811752,0.00947318184662945,0.0169863174223954,0.0105360808041748,-0.0251613424427186,-0.0197929672457465,0,1,25,0,1814,1822.48,"1_2_LT05_018050_19860315",0,9,NA,112.2725461,51.0987171
"1986-03-15","B","LANDSAT_5",0.0183192619310492,0.0100148025930713,0.0176993008531856,0.0110178122260852,-0.02639500832447,-0.020642006894528,0,1,25,0,1658,1665.56,"1_2_LT05_018050_19860315",0,9,NA,112.2725461,51.0987171
"1986-03-15","C","LANDSAT_5",0.0155479256562897,0.00709749846272888,0.0170575852294193,0.00680802887672468,-0.0253669584603607,-0.0200759825451857,0,1,27,0,1709,1716.55555555556,"1_2_LT05_018050_19860315",0,9,NA,112.2725461,51.0987171
"1986-03-15","D","LANDSAT_5",0.0178065170647921,0.00978545237986442,0.017390258052088,0.0108304069665781,-0.0259837944236467,-0.0203589957614461,0,1,27,0,1823,1830.66666666667,"1_2_LT05_018050_19860315",0,9,NA,112.2725461,51.0987171
"1986-03-15","E","LANDSAT_5",0.0165502175813294,0.00957721051700242,0.0169150564011615,0.00694060148561638,-0.00644185029789869,-0.0203589957614461,0,1,25,0,1249,1256.56,"1_2_LT05_018050_19860315",0,9,NA,112.2725461,51.0987171
"1986-03-15","F","LANDSAT_5",0.0170503790723332,0.00980629009777246,0.0172239031683253,0.00717933897414465,-0.0266006122524714,-0.020925015944431,0,1,26,0,1463,1470.76923076923,"1_2_LT05_018050_19860315",0,9,NA,112.2725461,51.0987171
"1986-03-15","G","LANDSAT_5",0.018148424126051,0.00966047773860865,0.0174140260513893,0.0105895793958097,-0.0251613424427186,-0.0197929672457465,0,1,25,0,1547,1554.32,"1_2_LT05_018050_19860315",0,9,NA,112.2725461,51.0987171
