"med_Aerosol","med_Blue","med_Green","med_Red","med_Nir","med_Swir1","med_Swir2","med_SurfaceTemp","med_temp_qa","min_Aerosol","min_Blue","min_Green","min_Red","min_Nir","min_Swir1","min_Swir2","min_SurfaceTemp","min_temp_qa","max_Aerosol","max_Blue","max_Green","max_Red","max_Nir","max_Swir1","max_Swir2","max_SurfaceTemp","max_temp_qa","Q1_Aerosol","Q1_Blue","Q1_Green","Q1_Red","Q1_Nir","Q1_Swir1","Q1_Swir2","Q1_SurfaceTemp","Q3_Aerosol","Q3_Blue","Q3_Green","Q3_Red","Q3_Nir","Q3_Swir1","Q3_Swir2","Q3_SurfaceTemp","sd_Aerosol","sd_Blue","sd_Green","sd_Red","sd_Nir","sd_Swir1","sd_Swir2","sd_SurfaceTemp","sd_temp_qa","kurt_SurfaceTemp","prop_clouds","prop_medHighAero","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system:index","rowid","WRS_PATH","WRS_ROW","mission","date","UTC_time","CLOUD_COVER","IMAGE_QUALITY_OLI","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION"
-0.0006525,0.00314249999999999,0.0161775,0.01406,-0.00142249999999999,0.00481999999999999,0.00542499999999998,302.78013782,445,-0.00134,0.0023175,0.014995,0.01263,-0.00246750000000001,0.00443499999999999,0.00514999999999998,302.69468732,441,0.000969999999999999,0.0047375,0.0194225,0.017415,0.0012725,0.00561749999999999,0.00647,302.83482614,451,-0.000982499999999997,0.00284,0.0156825,0.0137025,-0.001835,0.00465499999999999,0.0052875,302.75621168,-0.000212500000000004,0.00374749999999998,0.0172225,0.015325,-0.00114749999999999,0.00498499999999998,0.00556249999999999,302.80748198,0.000569137722272544,0.000642860294862388,0.00104290527184198,0.00109414870354052,0.000718257063923876,0.000260780523585398,0.000300070836401523,0.0349773502835334,2.961110532045,-0.550023007670131,0,128,1,27,0,63,71.2222222222222,"1_LC08_015049_20181012","11.0",15,49,"LANDSAT_8",2018-10-12,"15:52:38.7627490Z",27.57,9,9,136.59533948,58.5173317
-0.0006525,0.00314249999999999,0.0161775,0.01406,-0.00142249999999999,0.00481999999999999,0.00542499999999998,302.78013782,445,-0.00134,0.0023175,0.014995,0.01263,-0.00246750000000001,0.00443499999999999,0.00514999999999998,302.69468732,441,0.000969999999999999,0.0047375,0.0194225,0.017415,0.0012725,0.00561749999999999,0.00647,302.83482614,451,-0.000982499999999997,0.00284,0.0156825,0.0137025,-0.001835,0.00465499999999999,0.0052875,302.75621168,-0.000212500000000004,0.00374749999999998,0.0172225,0.015325,-0.00114749999999999,0.00498499999999998,0.00556249999999999,302.80748198,0.000569137722272544,0.000642860294862388,0.00104290527184198,0.00109414870354052,0.000718257063923876,0.000260780523585398,0.000300070836401523,0.0349773502835334,2.961110532045,-0.550023007670131,0,128,1,27,0,63,71.2222222222222,"1_LC08_015049_20181012","11.0",15,49,"LANDSAT_8",2018-10-12,"15:52:38.7627490Z",27.57,9,9,136.59533948,58.5173317
-0.0006525,0.00314249999999999,0.0161775,0.01406,-0.00142249999999999,0.00481999999999999,0.00542499999999998,302.78013782,445,-0.00134,0.0023175,0.014995,0.01263,-0.00246750000000001,0.00443499999999999,0.00514999999999998,302.69468732,441,0.000969999999999999,0.0047375,0.0194225,0.017415,0.0012725,0.00561749999999999,0.00647,302.83482614,451,-0.000982499999999997,0.00284,0.0156825,0.0137025,-0.001835,0.00465499999999999,0.0052875,302.75621168,-0.000212500000000004,0.00374749999999998,0.0172225,0.015325,-0.00114749999999999,0.00498499999999998,0.00556249999999999,302.80748198,0.000569137722272544,0.000642860294862388,0.00104290527184198,0.00109414870354052,0.000718257063923876,0.000260780523585398,0.000300070836401523,0.0349773502835334,2.961110532045,-0.550023007670131,0,128,1,27,0,63,71.2222222222222,"1_LC08_015049_20181012","11.0",15,49,"LANDSAT_8",2018-10-12,"15:52:38.7627490Z",27.57,9,9,136.59533948,58.5173317
-0.0006525,0.00314249999999999,0.0161775,0.01406,-0.00142249999999999,0.00481999999999999,0.00542499999999998,302.78013782,445,-0.00134,0.0023175,0.014995,0.01263,-0.00246750000000001,0.00443499999999999,0.00514999999999998,302.69468732,441,0.000969999999999999,0.0047375,0.0194225,0.017415,0.0012725,0.00561749999999999,0.00647,302.83482614,451,-0.000982499999999997,0.00284,0.0156825,0.0137025,-0.001835,0.00465499999999999,0.0052875,302.75621168,-0.000212500000000004,0.00374749999999998,0.0172225,0.015325,-0.00114749999999999,0.00498499999999998,0.00556249999999999,302.80748198,0.000569137722272544,0.000642860294862388,0.00104290527184198,0.00109414870354052,0.000718257063923876,0.000260780523585398,0.000300070836401523,0.0349773502835334,2.961110532045,-0.550023007670131,0,128,1,27,0,63,71.2222222222222,"1_LC08_015049_20181012","11.0",15,49,"LANDSAT_8",2018-10-12,"15:52:38.7627490Z",27.57,9,9,136.59533948,58.5173317
0.00113499999999999,0.00649749999999998,0.0227775,0.02352,0.00129999999999999,0.0045725,0.00454499999999999,302.27768888,569,-0.000212500000000004,0.00592,0.0217325,0.02231,0.000530000000000003,0.00399499999999999,0.00410499999999999,302.12045996,534,0.00259249999999999,0.00740499999999999,0.02352,0.0243175,0.00245499999999998,0.00536999999999998,0.00556249999999999,302.42124572,615,0.000777499999999987,0.00633249999999999,0.0224475,0.0231625,0.000997499999999984,0.00413249999999998,0.00432499999999999,302.24009066,0.0014375,0.00693749999999998,0.0229975,0.0238775,0.00162999999999999,0.00498499999999998,0.0050675,302.32554116,0.000548827453826862,0.000416806848846744,0.000429107061664587,0.000478740542317825,0.000452387357236754,0.000430605731843292,0.000432682203110873,0.0728196724672234,23.091931737848,-0.234676742076035,0,128,1,27,0,17,25.2962962962963,"1_LC08_015049_20181113","11.0",15,49,"LANDSAT_8",2018-11-13,"15:52:45.5375869Z",8.71,9,9,148.23908831,50.40716117
0.00113499999999999,0.00649749999999998,0.0227775,0.02352,0.00129999999999999,0.0045725,0.00454499999999999,302.27768888,569,-0.000212500000000004,0.00592,0.0217325,0.02231,0.000530000000000003,0.00399499999999999,0.00410499999999999,302.12045996,534,0.00259249999999999,0.00740499999999999,0.02352,0.0243175,0.00245499999999998,0.00536999999999998,0.00556249999999999,302.42124572,615,0.000777499999999987,0.00633249999999999,0.0224475,0.0231625,0.000997499999999984,0.00413249999999998,0.00432499999999999,302.24009066,0.0014375,0.00693749999999998,0.0229975,0.0238775,0.00162999999999999,0.00498499999999998,0.0050675,302.32554116,0.000548827453826862,0.000416806848846744,0.000429107061664587,0.000478740542317825,0.000452387357236754,0.000430605731843292,0.000432682203110873,0.0728196724672234,23.091931737848,-0.234676742076035,0,128,1,27,0,17,25.2962962962963,"1_LC08_015049_20181113","11.0",15,49,"LANDSAT_8",2018-11-13,"15:52:45.5375869Z",8.71,9,9,148.23908831,50.40716117
0.00113499999999999,0.00649749999999998,0.0227775,0.02352,0.00129999999999999,0.0045725,0.00454499999999999,302.27768888,569,-0.000212500000000004,0.00592,0.0217325,0.02231,0.000530000000000003,0.00399499999999999,0.00410499999999999,302.12045996,534,0.00259249999999999,0.00740499999999999,0.02352,0.0243175,0.00245499999999998,0.00536999999999998,0.00556249999999999,302.42124572,615,0.000777499999999987,0.00633249999999999,0.0224475,0.0231625,0.000997499999999984,0.00413249999999998,0.00432499999999999,302.24009066,0.0014375,0.00693749999999998,0.0229975,0.0238775,0.00162999999999999,0.00498499999999998,0.0050675,302.32554116,0.000548827453826862,0.000416806848846744,0.000429107061664587,0.000478740542317825,0.000452387357236754,0.000430605731843292,0.000432682203110873,0.0728196724672234,23.091931737848,-0.234676742076035,0,128,1,27,0,17,25.2962962962963,"1_LC08_015049_20181113","11.0",15,49,"LANDSAT_8",2018-11-13,"15:52:45.5375869Z",8.71,9,9,148.23908831,50.40716117
0.00113499999999999,0.00649749999999998,0.0227775,0.02352,0.00129999999999999,0.0045725,0.00454499999999999,302.27768888,569,-0.000212500000000004,0.00592,0.0217325,0.02231,0.000530000000000003,0.00399499999999999,0.00410499999999999,302.12045996,534,0.00259249999999999,0.00740499999999999,0.02352,0.0243175,0.00245499999999998,0.00536999999999998,0.00556249999999999,302.42124572,615,0.000777499999999987,0.00633249999999999,0.0224475,0.0231625,0.000997499999999984,0.00413249999999998,0.00432499999999999,302.24009066,0.0014375,0.00693749999999998,0.0229975,0.0238775,0.00162999999999999,0.00498499999999998,0.0050675,302.32554116,0.000548827453826862,0.000416806848846744,0.000429107061664587,0.000478740542317825,0.000452387357236754,0.000430605731843292,0.000432682203110873,0.0728196724672234,23.091931737848,-0.234676742076035,0,128,1,27,0,17,25.2962962962963,"1_LC08_015049_20181113","11.0",15,49,"LANDSAT_8",2018-11-13,"15:52:45.5375869Z",8.71,9,9,148.23908831,50.40716117
0.0264075,0.037545,0.06114,0.06719,0.038535,0.0350975,0.03232,302.0589356,392,0.000557499999999989,0.0081475,0.0349875,0.037325,0.00688249999999998,0.014115,0.01318,301.54965062,387,0.0735425,0.083195,0.1119325,0.11636,0.09601,0.0777225,0.068565,302.4861881,397,0.0128775,0.021595,0.042935,0.0468675,0.0202475,0.025005,0.0215125,301.85727242,0.03771,0.0497275,0.0725525,0.0783825,0.052065,0.0492325,0.04519,302.24009066,0.0177921938704283,0.0188439844430884,0.0199222596095234,0.0202921284599433,0.0213366665609894,0.0171363935244465,0.0148067316606041,0.26505530376263,2.7145899558248,-0.953794608856507,0,128,1,27,0,121,129.148148148148,"1_LC08_015049_20181231","11.0",15,49,"LANDSAT_8",2018-12-31,"15:52:41.7561750Z",15.73,9,9,146.92281476,43.8163356
0.0264075,0.037545,0.06114,0.06719,0.038535,0.0350975,0.03232,302.0589356,392,0.000557499999999989,0.0081475,0.0349875,0.037325,0.00688249999999998,0.014115,0.01318,301.54965062,387,0.0735425,0.083195,0.1119325,0.11636,0.09601,0.0777225,0.068565,302.4861881,397,0.0128775,0.021595,0.042935,0.0468675,0.0202475,0.025005,0.0215125,301.85727242,0.03771,0.0497275,0.0725525,0.0783825,0.052065,0.0492325,0.04519,302.24009066,0.0177921938704283,0.0188439844430884,0.0199222596095234,0.0202921284599433,0.0213366665609894,0.0171363935244465,0.0148067316606041,0.26505530376263,2.7145899558248,-0.953794608856507,0,128,1,27,0,121,129.148148148148,"1_LC08_015049_20181231","11.0",15,49,"LANDSAT_8",2018-12-31,"15:52:41.7561750Z",15.73,9,9,146.92281476,43.8163356
