"","date","location","est_secchi_stringent","mission"
"103","1986-09-23","M",3.25331616401672,"LANDSAT_5"
"104","1986-09-23","P",3.40053510665894,"LANDSAT_5"
"105","1986-09-23","R",3.59205269813538,"LANDSAT_5"
"106","1987-01-29","A",3.26765155792236,"LANDSAT_5"
"107","1987-01-29","B",3.29487919807434,"LANDSAT_5"
"108","1987-01-29","C",3.44591045379639,"LANDSAT_5"
"109","1987-01-29","D",3.34372758865356,"LANDSAT_5"
"110","1987-01-29","E",3.06784820556641,"LANDSAT_5"
"111","1987-01-29","F",3.3271210193634,"LANDSAT_5"
"112","1987-01-29","G",3.29173541069031,"LANDSAT_5"
"113","1987-01-29","H",3.3094527721405,"LANDSAT_5"
"114","1987-01-29","I",3.13563680648804,"LANDSAT_5"
"115","1987-01-29","J",3.25503468513489,"LANDSAT_5"
"116","1987-01-29","K",3.16708374023438,"LANDSAT_5"
"117","1987-01-29","L",3.03237843513489,"LANDSAT_5"
"118","1987-01-29","M",3.2013783454895,"LANDSAT_5"
"119","1987-01-29","N",3.12129616737366,"LANDSAT_5"
"120","1987-01-29","O",3.3775737285614,"LANDSAT_5"
"121","1987-01-29","P",3.36173748970032,"LANDSAT_5"
"122","1987-01-29","Q",3.3775737285614,"LANDSAT_5"
"123","1987-01-29","R",3.42365384101868,"LANDSAT_5"
"124","1987-03-02","A",3.01502656936646,"LANDSAT_5"
"125","1987-03-02","B",2.75953269004822,"LANDSAT_5"
"126","1987-03-02","D",3.02959537506104,"LANDSAT_5"
"127","1987-03-02","E",2.55392289161682,"LANDSAT_5"
"128","1987-03-02","F",2.80836606025696,"LANDSAT_5"
"129","1987-03-02","G",2.72409725189209,"LANDSAT_5"
"130","1987-03-02","H",2.58590340614319,"LANDSAT_5"
"131","1987-03-02","I",2.3329598903656,"LANDSAT_5"
"132","1987-03-02","K",2.33709239959717,"LANDSAT_5"
"133","1987-03-02","L",2.93677020072937,"LANDSAT_5"
"134","1987-03-02","M",2.7973849773407,"LANDSAT_5"
"135","1987-03-02","P",3.00291705131531,"LANDSAT_5"
"136","1987-03-02","R",2.86780428886414,"LANDSAT_5"
"137","1987-03-18","A",3.56012749671936,"LANDSAT_5"
"138","1987-03-18","B",3.58284473419189,"LANDSAT_5"
"139","1987-03-18","C",3.68625164031982,"LANDSAT_5"
"140","1987-03-18","D",3.18450307846069,"LANDSAT_5"
"141","1987-03-18","E",3.16545248031616,"LANDSAT_5"
"142","1987-03-18","F",3.44191789627075,"LANDSAT_5"
"143","1987-03-18","G",3.45165920257568,"LANDSAT_5"
"144","1987-03-18","H",2.97484254837036,"LANDSAT_5"
"145","1987-03-18","I",3.46865749359131,"LANDSAT_5"
"146","1987-03-18","J",3.23171186447144,"LANDSAT_5"
"147","1987-03-18","K",3.31283450126648,"LANDSAT_5"
"148","1987-03-18","L",3.30616807937622,"LANDSAT_5"
"149","1987-03-18","M",3.47467684745789,"LANDSAT_5"
"150","1987-03-18","N",3.35307240486145,"LANDSAT_5"
"151","1987-03-18","O",3.40990805625916,"LANDSAT_5"
"152","1987-03-18","P",3.44417095184326,"LANDSAT_5"
"153","1987-03-18","Q",3.51904129981995,"LANDSAT_5"
"154","1987-03-18","R",3.22746896743774,"LANDSAT_5"
"155","1987-06-22","C",2.74398946762085,"LANDSAT_5"
"156","1987-06-22","E",2.56954002380371,"LANDSAT_5"
"157","1987-06-22","F",2.72209882736206,"LANDSAT_5"
"158","1987-06-22","G",2.3986976146698,"LANDSAT_5"
"159","1987-06-22","H",2.60969948768616,"LANDSAT_5"
"160","1987-06-22","M",2.76408576965332,"LANDSAT_5"
"161","1987-06-22","N",2.70070314407349,"LANDSAT_5"
"162","1987-06-22","Q",2.83029055595398,"LANDSAT_5"
"163","1987-06-22","R",2.56919765472412,"LANDSAT_5"
"164","1987-07-08","A",2.8848831653595,"LANDSAT_5"
"165","1987-07-08","B",3.68397545814514,"LANDSAT_5"
"166","1987-07-08","C",3.61377596855164,"LANDSAT_5"
"167","1987-07-08","D",2.82912516593933,"LANDSAT_5"
"168","1987-07-08","E",2.85994911193848,"LANDSAT_5"
"169","1987-07-08","F",3.41336989402771,"LANDSAT_5"
"170","1987-07-08","G",3.64197015762329,"LANDSAT_5"
"171","1987-07-08","H",3.38693594932556,"LANDSAT_5"
"172","1987-07-08","I",3.60947608947754,"LANDSAT_5"
"173","1987-07-08","J",3.61528491973877,"LANDSAT_5"
"174","1987-07-08","K",2.8484046459198,"LANDSAT_5"
"175","1987-07-08","M",2.91905903816223,"LANDSAT_5"
"176","1987-07-08","O",3.29447793960571,"LANDSAT_5"
"177","1987-07-08","P",3.4097626209259,"LANDSAT_5"
"178","1987-07-08","Q",3.34657287597656,"LANDSAT_5"
"179","1987-07-08","R",3.48030042648315,"LANDSAT_5"
"180","1987-07-24","O",3.30804252624512,"LANDSAT_5"
"181","1987-08-09","A",3.49378561973572,"LANDSAT_5"
"182","1987-08-09","B",3.34006690979004,"LANDSAT_5"
"183","1987-08-09","C",3.14097332954407,"LANDSAT_5"
"184","1987-08-09","D",3.60728764533997,"LANDSAT_5"
"185","1987-08-09","E",3.08464121818542,"LANDSAT_5"
"186","1987-08-09","F",3.17923474311829,"LANDSAT_5"
"187","1987-08-09","G",3.37669897079468,"LANDSAT_5"
"188","1987-08-09","H",3.3992326259613,"LANDSAT_5"
"189","1987-08-09","I",3.17697381973267,"LANDSAT_5"
"190","1987-08-09","K",3.58714151382446,"LANDSAT_5"
"191","1987-08-09","M",3.18098926544189,"LANDSAT_5"
"192","1987-08-09","N",3.4505627155304,"LANDSAT_5"
"193","1987-08-09","O",3.42743396759033,"LANDSAT_5"
"194","1987-08-09","P",3.37767767906189,"LANDSAT_5"
"195","1987-08-09","Q",3.15659070014954,"LANDSAT_5"
"196","1987-08-09","R",3.55635213851929,"LANDSAT_5"
"197","1987-09-10","B",3.15419411659241,"LANDSAT_5"
"198","1987-09-10","C",3.33866000175476,"LANDSAT_5"
"199","1987-09-10","E",3.51454019546509,"LANDSAT_5"
"200","1987-09-10","F",3.17375040054321,"LANDSAT_5"
"201","1987-09-10","G",3.20096039772034,"LANDSAT_5"
"202","1987-09-10","H",3.71346735954285,"LANDSAT_5"
"203","1987-09-10","I",3.55101466178894,"LANDSAT_5"
"204","1987-09-10","K",3.30467700958252,"LANDSAT_5"
"205","1987-09-10","L",2.55351567268372,"LANDSAT_5"
"206","1987-09-10","M",2.57534885406494,"LANDSAT_5"
"207","1987-09-10","P",3.54184889793396,"LANDSAT_5"
"208","1987-09-10","Q",3.27218556404114,"LANDSAT_5"
"209","1987-09-26","A",3.39307260513306,"LANDSAT_5"
"210","1987-09-26","B",3.36719226837158,"LANDSAT_5"
"211","1987-09-26","C",3.42736315727234,"LANDSAT_5"
"212","1987-09-26","D",3.36960649490356,"LANDSAT_5"
"213","1987-09-26","E",3.49247932434082,"LANDSAT_5"
"214","1987-09-26","F",3.54354476928711,"LANDSAT_5"
"215","1987-09-26","G",3.3601438999176,"LANDSAT_5"
"216","1987-09-26","H",3.42139530181885,"LANDSAT_5"
"217","1987-09-26","I",3.64461183547974,"LANDSAT_5"
"218","1987-09-26","J",3.36941242218018,"LANDSAT_5"
"219","1987-09-26","K",3.78596115112305,"LANDSAT_5"
"220","1987-09-26","L",2.80700325965881,"LANDSAT_5"
"221","1987-09-26","M",3.01494336128235,"LANDSAT_5"
"222","1987-09-26","N",3.58203172683716,"LANDSAT_5"
"223","1987-09-26","O",3.64076638221741,"LANDSAT_5"
"224","1987-09-26","P",3.67691540718079,"LANDSAT_5"
"225","1987-09-26","Q",3.44733548164368,"LANDSAT_5"
"226","1987-09-26","R",3.44044780731201,"LANDSAT_5"
"227","1987-10-12","H",3.258460521698,"LANDSAT_5"
"228","1987-10-12","M",3.08108615875244,"LANDSAT_5"
"229","1987-10-12","O",3.66592502593994,"LANDSAT_5"
"230","1990-01-21","A",3.36971950531006,"LANDSAT_5"
"231","1990-01-21","B",3.50433230400085,"LANDSAT_5"
"232","1990-01-21","C",3.23481893539429,"LANDSAT_5"
