date,location,mission,est_secchi_stringent,est_secchi_verystringent,est_secchi_highsecchi,est_secchi_stepwise
1985-03-28,E,LANDSAT_5,3.4886622428894043,2.956000566482544,3.7981626987457275,3.368034208999511
1985-03-28,H,LANDSAT_5,3.6337714195251465,3.5235178470611572,3.901019334793091,3.2773917919746154
1985-03-28,K,LANDSAT_5,3.442888021469116,3.2932381629943848,3.9074270725250244,3.400058833158095
1985-03-28,L,LANDSAT_5,3.7056541442871094,2.9482600688934326,3.8223564624786377,3.3312057689176537
1985-03-28,M,LANDSAT_5,3.6127021312713623,3.1442365646362305,3.901780605316162,3.4998527016521592
1985-03-28,O,LANDSAT_5,3.5524020195007324,3.5235178470611572,3.901019334793091,3.271800033329793
1985-03-28,P,LANDSAT_5,3.6926536560058594,2.796159029006958,3.7687175273895264,3.2794560179082666
1985-03-28,R,LANDSAT_5,4.099729537963867,3.2873525619506836,4.175538063049316,3.622322852223574
1985-04-13,B,LANDSAT_5,3.2562904357910156,3.3100903034210205,3.566784620285034,3.47095406851017
1985-04-13,C,LANDSAT_5,3.3881595134735107,3.191340446472168,3.426651954650879,3.2601556351289993
1985-04-13,D,LANDSAT_5,3.226106643676758,3.3522837162017822,3.6431870460510254,3.4101160332170117
1985-04-13,E,LANDSAT_5,3.400092601776123,3.408947706222534,3.5895347595214844,3.5910524139690887
1985-04-13,F,LANDSAT_5,3.6932854652404785,3.3096630573272705,3.8220934867858887,3.653912091688592
1985-04-13,G,LANDSAT_5,3.213916540145874,3.299849033355713,3.566784620285034,3.489915285981361
1985-04-13,I,LANDSAT_5,3.2148618698120117,3.1614108085632324,3.494858741760254,3.4858446635136087
1985-04-13,J,LANDSAT_5,3.2805795669555664,3.2611083984375,3.7611968517303467,3.702942379946683
1985-04-13,K,LANDSAT_5,3.7958004474639893,3.582559585571289,3.7528176307678223,3.811503245814232
1985-04-13,L,LANDSAT_5,3.4106504917144775,3.4551663398742676,3.8052985668182373,3.7352758354969255
1985-04-13,M,LANDSAT_5,3.1464240550994873,3.2074644565582275,3.421754837036133,3.47913051429948
1985-04-13,P,LANDSAT_5,3.434086561203003,3.238844394683838,3.9041316509246826,3.6613066133458796
