"date","location","obs_date","mission","date_diff","secchi","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION","tot_sol_rad_KJpm2_3","mean_temp_degK_3","min_temp_degK_3","max_temp_degK_3","tot_precip_m_3","mean_wind_mps_3","tot_sol_rad_KJpm2_5","mean_temp_degK_5","min_temp_degK_5","max_temp_degK_5","tot_precip_m_5","mean_wind_mps_5","tot_sol_rad_KJpm2_7","mean_temp_degK_7","min_temp_degK_7","max_temp_degK_7","tot_precip_m_7","mean_wind_mps_7","precip_m_prev","air_temp_degK_prev","wind_speed_mps_prev","solar_rad_KJpm2_prev","RN","BG","RB","GB","med_Blue_corr_scaled","med_Red_corr_scaled","med_Green_corr_scaled","med_Nir_corr_scaled","med_Swir1_corr_scaled","med_Swir2_corr_scaled","tot_sol_rad_KJpm2_3_scaled","mean_temp_degK_3_scaled","min_temp_degK_3_scaled","max_temp_degK_3_scaled","tot_precip_m_3_scaled","mean_wind_mps_3_scaled","tot_sol_rad_KJpm2_5_scaled","mean_temp_degK_5_scaled","min_temp_degK_5_scaled","max_temp_degK_5_scaled","tot_precip_m_5_scaled","mean_wind_mps_5_scaled","tot_sol_rad_KJpm2_7_scaled","mean_temp_degK_7_scaled","min_temp_degK_7_scaled","max_temp_degK_7_scaled","tot_precip_m_7_scaled","mean_wind_mps_7_scaled","precip_m_prev_scaled","air_temp_degK_prev_scaled","wind_speed_mps_prev_scaled","RN_scaled","BG_scaled","RB_scaled","GB_scaled"
2006-01-25,"E",2006-01-22,"LANDSAT_7",-3,"3.60",0.0261325,0.00886249999999999,0.0225575,0.0082575,0.003665,0.00330749999999999,0,1,21,0,42,48.3809523809524,"2_LE07_018050_20060125",31,9,NA,137.11593103,45.13627994,34867.528,291.514970355564,291.033001581828,291.845419565837,0.0139633417129517,0.72254473929649,60701.78,291.242177454631,290.318817774455,291.845419565837,0.0160322070120742,0.712331474610071,70407.6,290.684984570458,288.554811477661,291.845419565837,0.0374181479214712,0.854522468119488,0.00444298982620239,291.666489919027,0.704395524359278,11164.552,1.07326672721768,1.15848387454283,0.33913708983067,0.86319716827705,0.238652096081969,0.0929442707758312,0.133826103870842,0.0779477357513922,0.633694390710764,0.396720935568378,0.293616016324654,0.304077150216622,0.335170539096304,0.281925545764347,0.145586127003187,0.390861373820034,0.255586496984304,0.279360334722694,0.287681953463191,0.281925545764347,0.117693357534856,0.408938036606123,0.153916654561225,0.219820626226375,0.217313970759583,0.209715032923701,0.221243937354509,0.588723741088427,0.0905696223066019,0.308661325894783,0.403230203200841,0.559545294079113,0.52779047283377,0.0805987455067435,0.0594637982371223
2006-02-26,"E",2006-02-22,"LANDSAT_7",-4,"3.48",0.0226125,0.0123275,0.03078,0.016755,0.00465499999999999,0.00121749999999998,0,1,25,0,204,212.64,"2_LE07_018050_20060226",4,9,NA,125.35155836,51.90507845,67383.156,293.147475984361,292.602914810181,293.559407552083,0.000709774360075244,0.426672276355371,110357.076,293.009051132202,292.602914810181,293.559407552083,0.00098544487690333,0.441167689666779,144472.63,292.460093361991,290.80003674825,293.559407552083,0.00720578858488352,0.647880652481231,0.000360088810339221,293.28010559082,0.671745754306859,24073.028,0.73575052223217,0.734649122807018,0.545163073521282,1.36119402985075,0.218824520964674,0.119286851362935,0.191985994942618,0.136693712207929,0.635315530769706,0.394281514684792,0.763855527973396,0.419459583903661,0.439559574540037,0.404789367938585,0.00740032738965868,0.218283353980367,0.732675183221428,0.403811753371513,0.439559574540037,0.404789367938585,0.00720747739418183,0.231984381827339,0.695390191601794,0.348044409206173,0.358162133044569,0.344934202870626,0.042488726082717,0.420330316666737,0.00734035161568953,0.42431917325625,0.384183969969395,0.55358285739199,0.425714229865297,0.08342507568707,0.0611368239807652
2006-03-14,"E",2006-03-09,"LANDSAT_7",-5,"4.02",0.02187,0.00704749999999998,0.0276725,0.00740499999999999,0.0018225,0.00113499999999999,0,1,25,0,356,363.36,"2_LE07_018050_20060314",30,9,NA,117.4558358,56.12804354,76267.6528125,294.332154591878,294.123561223348,294.545502344767,3.0144781462127e-06,0.507025958982104,127874.974875,293.840070343018,292.609975814819,294.545502344767,3.87874549545586e-06,0.561689933660169,171015.957,293.064663115002,291.075082143148,294.545502344767,0.000594963106514967,0.648589709658453,1.29488421407586e-06,294.545502344767,0.435741054506168,25191.4369375,0.951721809588115,0.790315294967929,0.322245084590763,1.26531778692273,0.214642141838369,0.0791457761825865,0.170005835440576,0.0720541264628723,0.6306772689344,0.394185221755177,0.892342710886019,0.503190444282387,0.540672686688285,0.475475613249225,3.14298831371994e-05,0.265152465409998,0.900987368087038,0.46234537749152,0.440029085497784,0.475475613249225,0,0.310633717546084,0.889442758049339,0.391715096420383,0.375416365358713,0.422728750105324,0.00337494844286105,0.420908130822185,2.63960033192049e-05,0.515018010146617,0.246510701554193,0.557398126431151,0.439120855186487,0.0803670155891838,0.0608147267247394
2006-03-30,"E",2006-03-25,"LANDSAT_7",-5,"4.58",0.03386,0.02077,0.0378475,0.01571,0.00866999999999998,0.009825,0,1,25,0,87,93.84,"2_LE07_018050_20060330",33,9,NA,107.79660445,60.01673057,57731.822,292.076139238146,291.59345181783,292.803928375244,0.00306635200966099,1.14248123491187,82541.712,291.745176569621,290.734568277995,292.803928375244,0.0167752526294649,1.13727258401089,123914.366,292.587914693923,290.734568277995,295.399160385132,0.0203415696897551,0.991177522958633,0.000592970848078522,292.803928375244,1.08027785405372,19675.738,1.32208784213877,0.89464297509743,0.613408151210868,1.11776432368576,0.282179819581657,0.183470758031512,0.241976269208325,0.129469287918776,0.641890154342081,0.404328077007981,0.624278381042114,0.343739513543028,0.37243684050319,0.350634344692022,0.0319707361097456,0.635804104046785,0.465424828536857,0.314789553140651,0.315326662270005,0.350634344692022,0.123149418332825,0.686242332199841,0.545093136115638,0.357277496667634,0.354055144831038,0.490075156592978,0.12020822161969,0.700084612448468,0.0120876139379327,0.390188597631076,0.622501043621632,0.563940876045911,0.464247104465532,0.0843612834375568,0.0603190192984335
2006-09-22,"E",2006-09-19,"LANDSAT_7",-3,"3.60",0.016755,0.00594749999999999,0.0176075,0.00666249999999998,0.0015475,0.00107999999999999,0,1,23,0,289,296.869565217391,"2_LE07_018050_20060922",33,9,NA,117.0824247,60.80893638,63013.406,294.866220262316,294.709631601969,295.11065864563,0.0207802664536985,0.243615843846293,104289.772,294.74560508728,294.134234110514,295.11065864563,0.0428702127235852,0.255431922131474,147606.126,294.916658038185,294.134234110514,295.520569483439,0.051602370320456,0.258418881115722,0.00616211705397518,294.778370539347,0.216380096979438,21900.978,0.89268292682927,0.951583132187988,0.354968666069829,1.05088033422859,0.185830196746049,0.0707830521866807,0.0988134604162616,0.066920982889,0.630226952251361,0.394121026468766,0.700660405122713,0.540937203446241,0.579642561214773,0.515987719405795,0.216661496458407,0.111509251627972,0.674380452799093,0.526127573689118,0.541382364380361,0.515987719405795,0.314760384687874,0.110778584027355,0.718298508285423,0.525492697118773,0.567324027542191,0.499653308615519,0.305166667234995,0.10295601776693,0.125613750204023,0.531709118552963,0.118546555031274,0.556355167321845,0.477960555960566,0.0808159281209232,0.060094321825751
2006-10-24,"E",2006-10-21,"LANDSAT_7",-3,"4.40",0.02495,0.00858749999999999,0.02165,0.0126575,0.00690999999999999,0.0052325,0,1,25,0,13,21.04,"2_LE07_018050_20061024",33,9,NA,137.26732056,54.7940545,44635.488,294.057805803087,293.804971694946,294.372519810994,0.0183577052889063,0.293044496197715,79859.64,294.481084696452,293.804971694946,295.273732503255,0.030472191720115,0.234074253102726,121482.358,295.022063573201,293.804971694946,296.542002360026,0.0318345292999638,0.374320789902586,0.00629248023028595,293.804971694946,0.354301953952942,14729.58,0.678451510961879,1.15242494226328,0.344188376753507,0.867735470941884,0.231991270066003,0.0908535897768548,0.127407119237503,0.108366364337301,0.639008127570629,0.398967770592733,0.434879803086036,0.483799986833779,0.519488551812723,0.463075704125425,0.191403123164908,0.140340251516763,0.439655448230003,0.507495829768781,0.519488551812723,0.527677344773818,0.223723771610225,0.0968411860338034,0.527313247632895,0.533106594650704,0.546668636410724,0.580235732084605,0.188207757848331,0.197405049088822,0.128271182271845,0.461939583628663,0.19900322751056,0.552570634210148,0.526331241279575,0.0806680406724491,0.0594790447131075
2018-04-08,"E",2018-04-09,"LANDSAT_8",1,"2.70",0.0254988377395765,0.0259336583585571,0.0427261530623271,0.0427946203520726,0.0551309324686258,0.122527707604655,0,1,25,0,110,117.32,"1_LC08_018050_20180408",27.54,9,9,103.20446507,64.10076244,66762.74,295.489287906223,294.870379765828,296.264406840007,0.000783491134484393,0.520018351187004,109917.884,295.61193707784,294.870379765828,296.56107711792,0.00104131400559027,0.423182886925519,156729.224,295.028732481457,293.468414306641,296.56107711792,0.00114360228502619,0.58937224295368,0,296.264406840007,0.142696929608198,24696.596,0.606002767291779,0.596796947817415,1.01705256621582,1.67561178665066,0.235082781858236,0.222727348633117,0.276484257129509,0.316714062209697,0.717970637979133,0.535873215078538,0.754883100411515,0.584974455041274,0.590331270292147,0.598691865598941,0.00816892131953731,0.272730735105709,0.728455421158469,0.58714848685042,0.590331270292147,0.619958084827069,0.007617715145016,0.220248018963813,0.784995519585192,0.533588318728126,0.525555614805656,0.581740569312205,0.00662104091694298,0.372651528095414,0,0.638222560780722,0.0755635022033016,0.551290781448076,0.392513950628302,0.089898606312141,0.0621931137728784
2018-04-08,"F",2018-04-09,"LANDSAT_8",1,"2.70",0.0415493030227939,0.0334847577805522,0.0478268655359385,0.0527982432958993,0.0665911077482292,0.146789108520843,0,1,15,0,56,63.3333333333333,"1_LC08_018050_20180408",27.54,9,9,103.20446507,64.10076244,66762.74,295.489287906223,294.870379765828,296.264406840007,0.000783491134484393,0.520018351187004,109917.884,295.61193707784,294.870379765828,296.56107711792,0.00104131400559027,0.423182886925519,156729.224,295.028732481457,293.468414306641,296.56107711792,0.00114360228502619,0.58937224295368,0,296.264406840007,0.142696929608198,24696.596,0.634202119053322,0.868744011492297,0.805904199215628,1.15108707141732,0.325492385855548,0.280134403480198,0.312562929291708,0.38587235558282,0.73673684932081,0.564190807451743,0.754883100411515,0.584974455041274,0.590331270292147,0.598691865598941,0.00816892131953731,0.272730735105709,0.728455421158469,0.58714848685042,0.590331270292147,0.619958084827069,0.007617715145016,0.220248018963813,0.784995519585192,0.533588318728126,0.525555614805656,0.581740569312205,0.00662104091694298,0.372651528095414,0,0.638222560780722,0.0755635022033016,0.551788940786835,0.458009605320495,0.087002005643191,0.0604309674232221
2018-04-08,"R",2018-04-09,"LANDSAT_8",1,"2.60",0.0357524846945083,0.0315585769708964,0.0449832752154201,0.0457657892200864,0.0513621372363039,0.107316906597264,0.166666666666667,1,20,0,302,309.25,"1_LC08_018050_20180408",27.54,9,9,103.20446507,64.10076244,66762.74,295.489287906223,294.870379765828,296.264406840007,0.000783491134484393,0.520018351187004,109917.884,295.61193707784,294.870379765828,296.56107711792,0.00104131400559027,0.423182886925519,156729.224,295.028732481457,293.468414306641,296.56107711792,0.00114360228502619,0.58937224295368,0,296.264406840007,0.142696929608198,24696.596,0.68956697805717,0.794795054901927,0.882696048695712,1.25818598622684,0.292839871410832,0.265490659409869,0.292449471913283,0.337254717269271,0.711799178458864,0.518119365493133,0.754883100411515,0.584974455041274,0.590331270292147,0.598691865598941,0.00816892131953731,0.272730735105709,0.728455421158469,0.58714848685042,0.590331270292147,0.619958084827069,0.007617715145016,0.220248018963813,0.784995519585192,0.533588318728126,0.525555614805656,0.581740569312205,0.00662104091694298,0.372651528095414,0,0.638222560780722,0.0755635022033016,0.552766995948708,0.44019975931502,0.0880554607360912,0.0607907673645839
2018-04-24,"B",2018-04-25,"LANDSAT_8",1,"2.30",0.0311024142074678,0.0199361318676784,0.0353791410731705,0.0249242230705389,0.030630159282192,0.0684024412340346,0,1,25,0,199,207.12,"1_LC08_018050_20180424",26.15,9,9,90.51007559,66.15407782,67245.56,295.801551818848,294.672707239787,296.418628056844,0.00223122039096779,0.777272642433845,108267.282,295.323268636068,294.124380111694,296.418628056844,0.00752636888273628,0.869829524995271,146047.092,294.589693523589,291.590730667114,296.418628056844,0.00767285623796354,0.840300984460157,0.000371158123016357,296.418628056844,0.760553814854791,23118.642,0.799869741626709,0.879117278261288,0.64098342124489,1.13750465919381,0.26664679701239,0.177131295268251,0.224516921526909,0.193170203666603,0.677850249203804,0.472698906411487,0.76186562097099,0.607044682277095,0.577187330898252,0.609746907007055,0.0232633951019215,0.422783348104276,0.712596417122315,0.566815852121796,0.540727137445836,0.609746907007055,0.055236398116501,0.511716715705998,0.706900745341878,0.50187463654602,0.407764187172833,0.570502542002223,0.045252190401223,0.577134584622902,0.00756599774759139,0.649276552303384,0.435990124539937,0.554715563852956,0.46050789998546,0.0847395697902376,0.0603853371651541
2018-04-24,"E",2018-04-25,"LANDSAT_8",1,"2.30",0.00906383010597761,0.0133428143181823,0.0292193178781445,0.0192707975325681,0.0379951731886759,0.0948795264894879,0,1,25,0,174,181.8,"1_LC08_018050_20180424",26.15,9,9,90.51007559,66.15407782,67245.56,295.801551818848,294.672707239787,296.418628056844,0.00223122039096779,0.777272642433845,108267.282,295.323268636068,294.124380111694,296.418628056844,0.00752636888273628,0.869829524995271,146047.092,294.589693523589,291.590730667114,296.418628056844,0.00767285623796354,0.840300984460157,0.000371158123016357,296.418628056844,0.760553814854791,23118.642,0.692385164424702,0.310199921291016,1.47209448568356,3.22372744595845,0.142507114696728,0.127005754464798,0.180946882482322,0.154086237376233,0.689910571505283,0.503602616798394,0.76186562097099,0.607044682277095,0.577187330898252,0.609746907007055,0.0232633951019215,0.422783348104276,0.712596417122315,0.566815852121796,0.540727137445836,0.609746907007055,0.055236398116501,0.511716715705998,0.706900745341878,0.50187463654602,0.407764187172833,0.570502542002223,0.045252190401223,0.577134584622902,0.00756599774759139,0.649276552303384,0.435990124539937,0.552816780988777,0.323490002983759,0.0961410165521849,0.0673940247665219
2018-04-24,"F",2018-04-25,"LANDSAT_8",1,"2.40",0.022709280330409,0.0131907197046369,0.0286348757588342,0.016656924123994,0.0223368218814801,0.056149343821717,0,1,26,0,272,277.269230769231,"1_LC08_018050_20180424",26.15,9,9,90.51007559,66.15407782,67245.56,295.801551818848,294.672707239787,296.418628056844,0.00223122039096779,0.777272642433845,108267.282,295.323268636068,294.124380111694,296.418628056844,0.00752636888273628,0.869829524995271,146047.092,294.589693523589,291.590730667114,296.418628056844,0.00767285623796354,0.840300984460157,0.000371158123016357,296.418628056844,0.760553814854791,23118.642,0.791906093012449,0.793063693436942,0.580851507080732,1.26093277031287,0.219369668484862,0.125849458760849,0.176812970655403,0.13601568183396,0.664269783059748,0.458397250087937,0.76186562097099,0.607044682277095,0.577187330898252,0.609746907007055,0.0232633951019215,0.422783348104276,0.712596417122315,0.566815852121796,0.540727137445836,0.609746907007055,0.055236398116501,0.511716715705998,0.706900745341878,0.50187463654602,0.407764187172833,0.570502542002223,0.045252190401223,0.577134584622902,0.00756599774759139,0.649276552303384,0.435990124539937,0.554574880976224,0.439782778704434,0.0839146610056341,0.0607999952148832
2018-04-24,"P",2018-04-25,"LANDSAT_8",1,"2.20",0.0320719477068278,0.020290651615325,0.0342496096649347,0.0218838353345203,0.0342489010762484,0.0834238593924699,0,1,26,0,43,50.4230769230769,"1_LC08_018050_20180424",26.15,9,9,90.51007559,66.15407782,67245.56,295.801551818848,294.672707239787,296.418628056844,0.00223122039096779,0.777272642433845,108267.282,295.323268636068,294.124380111694,296.418628056844,0.00752636888273628,0.869829524995271,146047.092,294.589693523589,291.590730667114,296.418628056844,0.00767285623796354,0.840300984460157,0.000371158123016357,296.418628056844,0.760553814854791,23118.642,0.927198149006259,0.936417904337858,0.632660410923697,1.06789927378322,0.272108018116736,0.179826523268857,0.216527450725432,0.172151016098625,0.683775993936442,0.490231710792713,0.76186562097099,0.607044682277095,0.577187330898252,0.609746907007055,0.0232633951019215,0.422783348104276,0.712596417122315,0.566815852121796,0.540727137445836,0.609746907007055,0.055236398116501,0.511716715705998,0.706900745341878,0.50187463654602,0.407764187172833,0.570502542002223,0.045252190401223,0.577134584622902,0.00756599774759139,0.649276552303384,0.435990124539937,0.556964900495934,0.474308166730183,0.0846253920790549,0.0601514971338733
2018-04-24,"R",2018-04-25,"LANDSAT_8",1,"2.70",0.0250660978062601,0.00969458890633734,0.0255071418357199,0.0113170434212845,0.00937977455541949,0.025344070159951,0,1,24,0,144,151.416666666667,"1_LC08_018050_20180424",26.15,9,9,90.51007559,66.15407782,67245.56,295.801551818848,294.672707239787,296.418628056844,0.00223122039096779,0.777272642433845,108267.282,295.323268636068,294.124380111694,296.418628056844,0.00752636888273628,0.869829524995271,146047.092,294.589693523589,291.590730667114,296.418628056844,0.00767285623796354,0.840300984460157,0.000371158123016357,296.418628056844,0.760553814854791,23118.642,0.85663618539311,0.98270899843266,0.386760994123153,1.01759524090541,0.232645229717871,0.099270207015608,0.154689691327969,0.0990993527910547,0.643052420972999,0.42244173434866,0.76186562097099,0.607044682277095,0.577187330898252,0.609746907007055,0.0232633951019215,0.422783348104276,0.712596417122315,0.566815852121796,0.540727137445836,0.609746907007055,0.055236398116501,0.511716715705998,0.706900745341878,0.50187463654602,0.407764187172833,0.570502542002223,0.045252190401223,0.577134584622902,0.00756599774759139,0.649276552303384,0.435990124539937,0.555718378893866,0.485456900874198,0.0812520654210362,0.0599825002013471
2018-05-10,"B",2018-05-10,"LANDSAT_8",0,"4.40",0.0208232091872532,0.00782826481955486,0.0286515783173618,0.0195854605552887,0.0110836254203462,0.0291518431325918,0,1,25,0,186,193.16,"1_LC08_018050_20180510",47.87,9,9,78.70537524,66.60471504,59402.026,294.551749547323,294.162932078044,295.309427897135,0.00201810476318087,0.889149255354262,110604.122,294.827643076579,294.162932078044,295.4112256368,0.00222110299222322,0.914508188706313,150538.826,295.10582833063,294.162932078044,295.867059071859,0.00616634039016617,0.943391772883775,0.000141099095344543,295.309427897135,0.796010039164086,21055.598,0.399697765465157,0.726773546525188,0.375939402479176,1.37594441182009,0.20874574312478,0.0850815222659053,0.176931112216313,0.156261605016655,0.645842502681681,0.426886117558905,0.648432794215797,0.518711003561141,0.543290592870666,0.530236098138078,0.0210413855363623,0.488039317288596,0.73504880418585,0.531905997059709,0.543290592870666,0.537533266778878,0.0162807101068178,0.54087272131329,0.739738848511827,0.539157285250154,0.569124317268509,0.526988409513177,0.0363387005391056,0.661143771414866,0.00287628202472871,0.569773294490828,0.456673501991511,0.54764627344088,0.423817478278107,0.0811036113740531,0.0611863780455946
2018-05-10,"E",2018-05-10,"LANDSAT_8",0,"3.90",0.0209417065915999,0.00875294831851519,0.0291859293623555,0.0158105396693993,0.0152868454895357,0.0385525935343527,0,1,25,0,491,498.56,"1_LC08_018050_20180510",47.87,9,9,78.70537524,66.60471504,59402.026,294.551749547323,294.162932078044,295.309427897135,0.00201810476318087,0.889149255354262,110604.122,294.827643076579,294.162932078044,295.4112256368,0.00222110299222322,0.914508188706313,150538.826,295.10582833063,294.162932078044,295.867059071859,0.00616634039016617,0.943391772883775,0.000141099095344543,295.309427897135,0.796010039164086,21055.598,0.553614772268412,0.717527488386608,0.417967288397888,1.39367482944597,0.209413219313953,0.0921114067071542,0.180710716785595,0.130164351296414,0.652725339480379,0.437858551459113,0.648432794215797,0.518711003561141,0.543290592870666,0.530236098138078,0.0210413855363623,0.488039317288596,0.73504880418585,0.531905997059709,0.543290592870666,0.537533266778878,0.0162807101068178,0.54087272131329,0.739738848511827,0.539157285250154,0.569124317268509,0.526988409513177,0.0363387005391056,0.661143771414866,0.00287628202472871,0.569773294490828,0.456673501991511,0.550365314466408,0.421590660224163,0.0816801633227906,0.0612459435718509
2018-05-10,"F",2018-05-10,"LANDSAT_8",0,"4.45",0.023411118979577,0.0095602115327153,0.0282339400201448,0.0174682586494991,0.0133976599774621,0.0346621371392447,0,1,26,0,227,233.615384615385,"1_LC08_018050_20180510",47.87,9,9,78.70537524,66.60471504,59402.026,294.551749547323,294.162932078044,295.309427897135,0.00201810476318087,0.889149255354262,110604.122,294.827643076579,294.162932078044,295.4112256368,0.00222110299222322,0.914508188706313,150538.826,295.10582833063,294.162932078044,295.867059071859,0.00616634039016617,0.943391772883775,0.000141099095344543,295.309427897135,0.796010039164086,21055.598,0.547290472653348,0.829183562863464,0.408362007004248,1.20600557558889,0.223323008978214,0.098248606209339,0.173977047409558,0.141624700831748,0.649631769467859,0.433317661230928,0.648432794215797,0.518711003561141,0.543290592870666,0.530236098138078,0.0210413855363623,0.488039317288596,0.73504880418585,0.531905997059709,0.543290592870666,0.537533266778878,0.0162807101068178,0.54087272131329,0.739738848511827,0.539157285250154,0.569124317268509,0.526988409513177,0.0363387005391056,0.661143771414866,0.00287628202472871,0.569773294490828,0.456673501991511,0.550253591723949,0.448481877946465,0.0815483950079059,0.0606154667210512
2018-05-10,"P",2018-05-10,"LANDSAT_8",0,"3.40",0.0362093063758689,0.015937791918163,0.0346982372233093,0.0211985445219477,0.0171773073737181,0.0421194538084958,0,1,26,0,359,367.076923076923,"1_LC08_018050_20180510",47.87,9,9,78.70537524,66.60471504,59402.026,294.551749547323,294.162932078044,295.309427897135,0.00201810476318087,0.889149255354262,110604.122,294.827643076579,294.162932078044,295.4112256368,0.00222110299222322,0.914508188706313,150538.826,295.10582833063,294.162932078044,295.867059071859,0.00616634039016617,0.943391772883775,0.000141099095344543,295.309427897135,0.796010039164086,21055.598,0.751834254548088,1.04354887376078,0.440157338357204,0.958268486646112,0.29541307203651,0.146734010323159,0.219700710673971,0.167413378212038,0.655820999571643,0.44202174449336,0.648432794215797,0.518711003561141,0.543290592870666,0.530236098138078,0.0210413855363623,0.488039317288596,0.73504880418585,0.531905997059709,0.543290592870666,0.537533266778878,0.0162807101068178,0.54087272131329,0.739738848511827,0.539157285250154,0.569124317268509,0.526988409513177,0.0363387005391056,0.661143771414866,0.00287628202472871,0.569773294490828,0.456673501991511,0.553866986669962,0.500109559417961,0.0819845735082415,0.0597831913405464
2018-05-10,"R",2018-05-10,"LANDSAT_8",0,"3.60",0.0535413549590175,0.0345599953673322,0.045246577439518,0.0421408660623359,0.0337579532759802,0.0596379382807034,0,1,24,0,180,188.041666666667,"1_LC08_018050_20180510",47.87,9,9,78.70537524,66.60471504,59402.026,294.551749547323,294.162932078044,295.309427897135,0.00201810476318087,0.889149255354262,110604.122,294.827643076579,294.162932078044,295.4112256368,0.00222110299222322,0.914508188706313,150538.826,295.10582833063,294.162932078044,295.867059071859,0.00616634039016617,0.943391772883775,0.000141099095344543,295.309427897135,0.796010039164086,21055.598,0.820106433413355,1.18332386644244,0.64548227055116,0.845077183312813,0.393041621814634,0.288308871814985,0.29431187734624,0.312194446544709,0.68297205944567,0.462469092278182,0.648432794215797,0.518711003561141,0.543290592870666,0.530236098138078,0.0210413855363623,0.488039317288596,0.73504880418585,0.531905997059709,0.543290592870666,0.537533266778878,0.0162807101068178,0.54087272131329,0.739738848511827,0.539157285250154,0.569124317268509,0.526988409513177,0.0363387005391056,0.661143771414866,0.00287628202472871,0.569773294490828,0.456673501991511,0.555073057779921,0.533772929529674,0.0848012864404546,0.0594029239552567
2018-06-11,"A",2018-06-12,"LANDSAT_8",1,"3.30",0.0198722637545621,0.0159189164915007,0.0190909386980173,0.0242491001392276,0.0170553035739153,0.0268833026570693,0,1,25,0,30,36.84,"1_LC08_018050_20180611",25.02,9,9,66.12604515,64.86717069,44398.86,294.258544286092,293.751815160116,294.97448794047,0.0124431552736155,0.51624387767767,81331.688,294.783382797241,293.751815160116,295.720010757446,0.0222392165027827,0.413849051934841,118624.416,294.688840684437,293.751815160116,295.720010757446,0.048745102395344,0.382370940628425,0.000648702351895736,294.04932975769,0.534296101548327,17314.696,0.656474524831904,1.04092648711014,0.801062057554775,0.960682634540545,0.203389225511391,0.146590510338176,0.109306209955738,0.188502859644469,0.655621216493659,0.424238306548738,0.431457699869626,0.497987806033417,0.515953987418831,0.506226593051134,0.129736192182753,0.270529140683223,0.453798903268475,0.528788482421662,0.515953987418831,0.559667914429586,0.163270399323764,0.214157027812292,0.506419447098463,0.509036464652713,0.543334004317313,0.515387539975831,0.288261283384519,0.203965156217419,0.0132236915452988,0.479454242178665,0.304002757672426,0.552182396885722,0.499477984551076,0.0869355795989206,0.0597913016960285
