med_Aerosol,med_Blue,med_Green,med_Red,med_Nir,med_Swir1,med_Swir2,med_SurfaceTemp,med_temp_qa,min_Aerosol,min_Blue,min_Green,min_Red,min_Nir,min_Swir1,min_Swir2,min_SurfaceTemp,min_temp_qa,max_Aerosol,max_Blue,max_Green,max_Red,max_Nir,max_Swir1,max_Swir2,max_SurfaceTemp,max_temp_qa,Q1_Aerosol,Q1_Blue,Q1_Green,Q1_Red,Q1_Nir,Q1_Swir1,Q1_Swir2,Q1_SurfaceTemp,Q3_Aerosol,Q3_Blue,Q3_Green,Q3_Red,Q3_Nir,Q3_Swir1,Q3_Swir2,Q3_SurfaceTemp,sd_Aerosol,sd_Blue,sd_Green,sd_Red,sd_Nir,sd_Swir1,sd_Swir2,sd_SurfaceTemp,sd_temp_qa,kurt_SurfaceTemp,prop_clouds,prop_medHighAero,prop_hillShadow,pCount_dswe1,pCount_dswe3,min_cloud_dist,mean_cloud_dist,system:index
-0.018417500000000017,0.002028749999999996,0.053096249999999984,0.04149124999999999,0.030518749999999997,0.035345,0.03053249999999999,292.46284445000003,363.0,-0.022377499999999995,-2.9500000000001747E-4,0.051570000000000005,0.038754999999999984,0.028524999999999995,0.034107499999999985,0.0293775,292.29023444,358,-0.014649999999999996,0.004489999999999994,0.05404500000000001,0.042440000000000005,0.031384999999999996,0.03658249999999999,0.03135750000000001,292.63545446,367,-0.019985000000000003,0.0010937499999999906,0.05207874999999998,0.04011624999999999,0.029886250000000003,0.03472625,0.03007875,292.39277504,-0.016616250000000013,0.003390000000000004,0.053453749999999994,0.04193125,0.030848749999999994,0.03568874999999999,0.030711249999999995,292.51924178,0.002144299348041286,0.001441033820637888,8.054800843183039E-4,0.0011729433047224969,7.520403669626907E-4,6.356267070881882E-4,4.6176799006551717E-4,0.09084841211689416,2.254239832455431,-0.7271279105511694,0.0,128.0,1.0,24,0,160,167.20833333333334,1_LC08_016049_20180104_3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_016049_20180104_5.0
-0.031452499999999994,0.006538749999999996,0.09742624999999999,0.12296000000000001,0.06376625,0.03171500000000001,0.02661374999999999,290.89739129,669.5,-0.1072425,-0.05419499999999999,0.07145249999999997,0.09642250000000002,0.04367750000000001,0.03006500000000001,0.02610499999999999,290.65300286,650,-0.002412500000000012,0.030230000000000007,0.10541499999999998,0.12980750000000002,0.06840000000000002,0.0324025,0.028085,291.15886982,705,-0.05062,-0.010662499999999991,0.090785,0.11685499999999999,0.0594075,0.03130250000000001,0.026324999999999987,290.73845336,-0.013522499999999993,0.01994499999999999,0.1017575,0.1266175,0.06785000000000002,0.0323475,0.02698500000000001,291.04949318,0.02746920527704243,0.02235148276709523,0.009156151824367296,0.009058259431863593,0.0069227916430188875,7.12426687957701E-4,5.053370768354691E-4,0.16076340430626884,15.489298478205793,-1.2616525154109506,0.4166666666666667,128.0,1.0,14,0,4,9.714285714285714,1_LC08_016049_20180104_8.0
0.040185,0.053605000000000014,0.08973999999999999,0.09238000000000002,0.054952500000000015,0.038754999999999984,0.031384999999999996,291.4972538,448.0,0.03584000000000001,0.05030499999999999,0.08839249999999998,0.090895,0.05343999999999999,0.0383425,0.030560000000000004,291.26824646,430,0.044062500000000004,0.05624499999999999,0.091555,0.09427750000000001,0.056327499999999975,0.03949749999999999,0.03204499999999999,291.72626114,490,0.0381775,0.05187249999999999,0.08894249999999998,0.09210499999999999,0.05409999999999998,0.038534999999999986,0.031192499999999984,291.43914745999996,0.042137499999999994,0.054649999999999976,0.09004250000000003,0.0934525,0.05539250000000001,0.039057499999999995,0.03163250000000001,291.61004846000003,0.0021270266298171314,0.0015476803630504008,7.592889899361383E-4,8.71722147675141E-4,8.340391866594517E-4,3.06440385518251E-4,3.3459224718931625E-4,0.11472625155044722,20.504407502371798,-0.5927387607689094,0.0,128.0,1.0,27,0,40,47.592592592592595,1_LC08_016049_20180104_9.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,128.0,1.0,0,4,,,1_LC08_016049_20180104_10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_016049_20180120_3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,122.66666666666667,1.0,0,0,,,1_LC08_016049_20180120_5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_016049_20180120_8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_016049_20180120_9.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_016049_20180120_10.0
5.850000000000022E-4,0.015751249999999994,0.055227499999999985,0.03619750000000001,0.013427500000000009,0.022144999999999984,0.0203575,299.79449735000003,382.0,-1.0250000000000536E-4,0.014169999999999988,0.053769999999999984,0.0353175,0.012025000000000008,0.020714999999999983,0.019147499999999984,299.6663216,377,0.0019599999999999895,0.017167500000000002,0.057152499999999995,0.03803999999999999,0.014912499999999995,0.0233275,0.021292499999999992,299.97052538,386,3.2374999999999765E-4,0.015214999999999992,0.05487,0.03568874999999999,0.013207499999999997,0.021704999999999988,0.02005499999999999,299.72613694999995,0.0012312499999999893,0.01632874999999999,0.05576375,0.03716,0.013908749999999998,0.02254375,0.020742499999999997,299.89020191,5.747653506721982E-4,7.421887207591357E-4,7.556108410116012E-4,7.944517894959981E-4,6.6518265002872E-4,5.797282574020647E-4,4.903470550283914E-4,0.0971065972196682,2.491304321480756,-1.2495821883384053,0.0,128.0,1.0,24,0,82,90.70833333333333,1_LC08_016049_20180221_3.0
0.01982125,0.04059750000000001,0.09756375,0.09473125000000002,0.021828749999999994,0.019092499999999984,0.01610874999999999,299.72100992000003,655.0,0.014692499999999997,0.03683,0.09403,0.09114250000000002,0.018295000000000006,0.016534999999999994,0.013977500000000004,299.56036298000004,621,0.022529999999999994,0.04263249999999999,0.0987325,0.09551500000000002,0.02318999999999999,0.0204125,0.01702999999999999,299.78937032,675,0.017992499999999995,0.03898875,0.09639500000000001,0.0929575,0.02061874999999999,0.018047499999999994,0.015325000000000005,299.66461259,0.020797499999999997,0.0414225,0.0981275,0.09495125000000001,0.022309999999999997,0.019670000000000007,0.01674125,299.74493606,0.002042457787201457,0.0017219145367511996,0.0013839878747661824,0.001259934491104054,0.0014541000438414746,0.0010755805118632267,9.83303829889271E-4,0.06209988296599694,17.746760267721058,-0.3035166873301076,0.16666666666666666,128.0,1.0,20,0,3,6.65,1_LC08_016049_20180221_5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_016049_20180221_8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_016049_20180221_9.0
-0.0022612500000000063,0.0024962499999999915,0.02302499999999999,0.02358874999999999,0.016961249999999997,0.018239999999999992,0.014747499999999997,299.41338812000004,519.0,-0.0034300000000000164,0.001162499999999983,0.021732499999999988,0.02162249999999999,0.015902499999999986,0.017579999999999985,0.014142500000000002,299.4099701,519,-0.0010924999999999963,0.00383,0.024317499999999992,0.025554999999999994,0.018020000000000008,0.0189,0.015352499999999991,299.41680614,519,-0.0034300000000000164,0.001162499999999983,0.021732499999999988,0.02162249999999999,0.015902499999999986,0.017579999999999985,0.014142500000000002,299.4099701,-0.0010924999999999963,0.00383,0.024317499999999992,0.025554999999999994,0.018020000000000008,0.0189,0.015352499999999991,299.41680614,0.00116875000000001,0.0013337500000000085,0.001292500000000001,0.001966249999999988,0.0010587500000000425,6.600000000000049E-4,6.049999999999759E-4,0.003418019839313699,0.0,-2.0,0.0,128.0,1.0,2,20,30,30.0,1_LC08_016049_20180221_10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_016049_20180309_3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_016049_20180309_5.0
0.04549249999999999,0.05826624999999999,0.10009375000000001,0.08935499999999999,0.01947750000000001,0.00795499999999999,0.006717500000000001,299.65777655,392.0,0.043072499999999986,0.056410000000000016,0.09900750000000003,0.08688000000000001,0.017579999999999985,0.006855,0.005865000000000009,299.51934674,388,0.04722499999999999,0.0595175,0.10101500000000002,0.09075749999999999,0.021595000000000003,0.009027499999999994,0.007707500000000006,299.88849289999996,397,0.044639999999999985,0.057620000000000005,0.09936500000000001,0.08875,0.018968749999999993,0.007432499999999995,0.006277500000000005,299.62017833,0.04618,0.058651250000000016,0.1003,0.0899875,0.020247499999999988,0.008518749999999992,0.00717124999999999,299.75006309,0.0010498409891170914,7.655187213659373E-4,5.440621310341265E-4,8.558937823504009E-4,9.890977756127786E-4,6.68440316406218E-4,5.092027124277166E-4,0.09749588345824364,2.569857324184879,-0.45201188957152016,0.0,0.0,1.0,24,0,72,80.375,1_LC08_016049_20180309_8.0
-0.1364475,-0.08227250000000001,0.018762499999999988,0.011887499999999995,-0.008434999999999998,0.012245000000000006,0.01238249999999999,299.77911626,649.0,-0.1391425,-0.08406000000000001,0.01837749999999999,0.01097999999999999,-0.008654999999999996,0.011364999999999986,0.0114475,299.59454317999996,649,-0.1321025,-0.0799625,0.025692500000000007,0.017827499999999996,-0.004062499999999997,0.015160000000000007,0.015352499999999991,299.82355052,674,-0.1391425,-0.08406000000000001,0.01837749999999999,0.01097999999999999,-0.008654999999999996,0.011364999999999986,0.0114475,299.59454317999996,-0.1321025,-0.0799625,0.025692500000000007,0.017827499999999996,-0.004062499999999997,0.015160000000000007,0.015352499999999991,299.82355052,0.002900261482464177,0.001677324672076074,0.0033612555524519198,0.0030367272679646456,0.002114978657628067,0.0016218525073370782,0.0016648039590961554,0.09915531421970555,11.785113019776889,-1.5,0.37037037037037035,128.0,1.0,3,2,4,6.666666666666667,1_LC08_016049_20180309_9.0
-0.0037737500000000063,-6.249999999999312E-6,0.011667499999999997,0.008106249999999995,0.004159999999999997,0.00883500000000001,0.008491249999999992,299.97736141999997,505.5,-0.009590000000000015,-0.005162500000000014,0.008587499999999998,0.00429750000000001,6.950000000000012E-4,0.007569999999999993,0.007817500000000005,299.96368934,476,2.550000000000052E-4,0.0030324999999999935,0.014087500000000003,0.010237499999999983,0.006112499999999993,0.009797499999999987,0.008917499999999995,300.05255786,552,-0.006427500000000003,-0.0020550000000000013,0.010237499999999983,0.006167499999999992,0.0022899999999999865,0.008394999999999986,0.008119999999999988,299.97052538,-0.0010374999999999968,0.002234999999999987,0.013152499999999984,0.00935749999999999,0.004379999999999995,0.009165000000000006,0.008669999999999983,300.00128756000004,0.0032424156310116073,0.002686540641286476,0.001743102721805407,0.0018421154818041305,0.0015359607935795695,5.807987429255906E-4,3.2580376038003893E-4,0.023802997708843122,22.259759962322683,1.0539622722252862,0.0,128.0,1.0,18,1,26,33.05555555555556,1_LC08_016049_20180309_10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,112.0,1.0,0,0,,,1_LC08_016049_20180325_3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_016049_20180325_5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_016049_20180325_8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,109.03703703703704,1.0,0,0,,,1_LC08_016049_20180325_9.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,128.0,1.0,0,0,,,1_LC08_016049_20180325_10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_016049_20180410_3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_016049_20180410_5.0
