med_Aerosol,med_Blue,med_Green,med_Red,med_Nir,med_Swir1,med_Swir2,med_SurfaceTemp,med_temp_qa,min_Aerosol,min_Blue,min_Green,min_Red,min_Nir,min_Swir1,min_Swir2,min_SurfaceTemp,min_temp_qa,max_Aerosol,max_Blue,max_Green,max_Red,max_Nir,max_Swir1,max_Swir2,max_SurfaceTemp,max_temp_qa,Q1_Aerosol,Q1_Blue,Q1_Green,Q1_Red,Q1_Nir,Q1_Swir1,Q1_Swir2,Q1_SurfaceTemp,Q3_Aerosol,Q3_Blue,Q3_Green,Q3_Red,Q3_Nir,Q3_Swir1,Q3_Swir2,Q3_SurfaceTemp,sd_Aerosol,sd_Blue,sd_Green,sd_Red,sd_Nir,sd_Swir1,sd_Swir2,sd_SurfaceTemp,sd_temp_qa,kurt_SurfaceTemp,prop_clouds,prop_medHighAero,prop_hillShadow,pCount_dswe1,pCount_dswe3,min_cloud_dist,mean_cloud_dist,system:index
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_020048_20180116_1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_020048_20180201_1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_020048_20180217_1.0
-0.004750000000000004,0.002537499999999998,0.012025000000000008,-8.174999999999988E-4,0.0015199999999999936,0.005452499999999999,0.005452499999999999,300.81477631999996,258.0,-0.005739999999999995,0.0018225000000000047,0.0112825,-0.0016150000000000053,5.850000000000022E-4,0.0046549999999999925,0.004792500000000005,300.76692404,258,-0.0037324999999999997,0.0038849999999999996,0.013097499999999984,9.000000000000674E-5,0.003390000000000004,0.007047499999999984,0.0065800000000000025,300.87630068,259,-0.005217500000000014,0.0021799999999999875,0.011694999999999983,-0.0013124999999999942,0.0011349999999999971,0.005122500000000002,0.0051775000000000015,300.80110424,-0.004200000000000009,0.0030324999999999935,0.01249249999999999,-3.7750000000000283E-4,0.0021525000000000016,0.006002499999999994,0.005865000000000009,300.83528444,5.883653116899365E-4,5.772369877268795E-4,4.961768233200337E-4,5.373519703136847E-4,6.273048381767833E-4,6.010128617592183E-4,4.3760925492954995E-4,0.026014343192910478,0.3249615361791333,-0.3001001817625002,0.0,128.0,1.0,25,0,345,352.88,1_LC08_020048_20180305_1.0
0.0019325000000000037,0.0065800000000000025,0.01540749999999999,-0.0022199999999999998,-7.900000000000129E-4,0.0045449999999999935,0.004709999999999992,300.13117232,400.0,6.950000000000012E-4,0.006002499999999994,0.014802499999999996,-0.002824999999999994,-0.0013674999999999937,0.004407500000000009,0.004462500000000008,300.01837766,396,0.003087499999999993,0.007597500000000007,0.01604,-0.0018350000000000033,-2.3999999999999022E-4,0.00492999999999999,0.005122500000000002,300.1961147,419,0.0016025000000000067,0.00638749999999999,0.015242499999999992,-0.0023299999999999987,-0.0010924999999999963,0.004462500000000008,0.004627500000000007,300.10382816000003,0.0023724999999999996,0.006855,0.01551749999999999,-0.0020550000000000013,-6.525000000000003E-4,0.0046549999999999925,0.004792500000000005,300.16877053999997,5.520597431437996E-4,3.807398586961723E-4,3.0181722946175576E-4,2.1343968703125616E-4,3.0195751356771857E-4,1.4930853960843564E-4,1.557578248435709E-4,0.04971563849282625,5.212907058445871,-0.6075400256644619,0.0,128.0,1.0,25,0,47,54.12,1_LC08_020048_20180321_1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_020048_20180406_1.0
0.05014000000000002,0.05852750000000001,0.07456000000000002,0.05921500000000002,0.06413750000000001,0.061470000000000025,0.04961750000000001,302.18540234,632.0,0.0477475,0.057620000000000005,0.073405,0.058142499999999986,0.06284499999999998,0.060535000000000005,0.04862749999999999,302.12387798,600,0.05217499999999997,0.06067250000000002,0.07623750000000001,0.061195,0.0657875,0.06334000000000001,0.05096499999999998,302.35972136,664,0.049644999999999995,0.05822499999999997,0.07387250000000001,0.05882999999999999,0.06358750000000002,0.061085,0.049205,302.16489422,0.05071749999999997,0.0597375,0.0751925,0.0599575,0.06463249999999998,0.06196499999999999,0.05025000000000002,302.21616452,9.650417296680225E-4,8.747912093747894E-4,8.350181075879433E-4,7.782575794680421E-4,7.619785036343618E-4,6.647495769092287E-4,6.869621095795899E-4,0.05873968547459941,21.01945765237484,0.8094512731498931,0.0,128.0,1.0,25,0,9,15.12,1_LC08_020048_20180422_1.0
6.950000000000012E-4,0.005782499999999996,0.0294875,-0.0036500000000000143,-7.900000000000129E-4,0.010649999999999993,0.011639999999999984,302.2127465,673.0,-0.0034575000000000022,0.00190499999999999,0.025334999999999996,-0.009149999999999991,-0.006207500000000005,0.004187499999999983,0.006167499999999992,302.11362392,640,0.005424999999999985,0.012080000000000007,0.03361249999999999,0.0023175,0.008257500000000001,0.018405000000000005,0.017469999999999986,302.3494673,690,-7.350000000000134E-4,0.0036650000000000016,0.026324999999999987,-0.00711500000000001,-0.004282499999999995,0.006030000000000008,0.0070199999999999985,302.17173026,0.0020425000000000026,0.007597500000000007,0.030945,-0.0011750000000000094,0.004352500000000009,0.01389499999999999,0.013234999999999997,302.25718076,0.002364562726542711,0.002870377018620543,0.002634741728125051,0.0034304630239891695,0.0045811009869718535,0.004136929763542128,0.0035148355769015808,0.06640764460047588,17.349286222385683,-0.8432353784472668,0.16,128.0,1.0,21,0,3,7.095238095238095,1_LC08_020048_20180508_1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_020048_20180524_1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_020048_20180609_1.0
